keyword,match,use,note,evidence_rows
씨유,ko,1,기존(팀원 목록 + 1차 수정),
지에스25,ko,1,기존(팀원 목록 + 1차 수정),
지에스(GS)25,ko,1,기존(팀원 목록 + 1차 수정),
GS리테일,ko,1,기존(팀원 목록 + 1차 수정),
지에스리테일,ko,1,기존(팀원 목록 + 1차 수정),
세븐일레븐,ko,1,기존(팀원 목록 + 1차 수정),
이마트24,ko,1,기존(팀원 목록 + 1차 수정),
이마트에브리데이,ko,1,기존(팀원 목록 + 1차 수정),
미니스톱,ko,1,기존(팀원 목록 + 1차 수정),
씨스페이스,ko,1,기존(팀원 목록 + 1차 수정),
파리바게뜨,ko,1,기존(팀원 목록 + 1차 수정),
파리바게트,ko,1,기존(팀원 목록 + 1차 수정),
뚜레쥬르,ko,1,기존(팀원 목록 + 1차 수정),
던킨,ko,1,기존(팀원 목록 + 1차 수정),
배스킨라빈스,ko,1,기존(팀원 목록 + 1차 수정),
크리스피,ko,1,기존(팀원 목록 + 1차 수정),
스타벅스,ko,1,기존(팀원 목록 + 1차 수정),
이디야,ko,1,기존(팀원 목록 + 1차 수정),
투썸,ko,1,기존(팀원 목록 + 1차 수정),
메가커피,ko,1,기존(팀원 목록 + 1차 수정),
메가MGC,ko,1,기존(팀원 목록 + 1차 수정),
컴포즈,ko,1,기존(팀원 목록 + 1차 수정),
빽다방,ko,1,기존(팀원 목록 + 1차 수정),
커피빈,ko,1,기존(팀원 목록 + 1차 수정),
할리스,ko,1,기존(팀원 목록 + 1차 수정),
맘스터치,ko,1,기존(팀원 목록 + 1차 수정),
롯데리아,ko,1,기존(팀원 목록 + 1차 수정),
맥도날드,ko,1,기존(팀원 목록 + 1차 수정),
버거킹,ko,1,기존(팀원 목록 + 1차 수정),
써브웨이,ko,1,기존(팀원 목록 + 1차 수정),
김가네,ko,1,기존(팀원 목록 + 1차 수정),
바르다김선생,ko,1,기존(팀원 목록 + 1차 수정),
홍콩반점,ko,1,기존(팀원 목록 + 1차 수정),
교촌,ko,1,기존(팀원 목록 + 1차 수정),
굽네,ko,1,기존(팀원 목록 + 1차 수정),
훼미리마트,ko,1,2차 보강: 편의점 옛 상호·운영법인,
바이더웨이,ko,1,2차 보강: 편의점 옛 상호·운영법인,
LG25,ko,1,2차 보강: 편의점 옛 상호·운영법인,
위드미,ko,1,2차 보강: 편의점 옛 상호·운영법인,
코리아세븐,ko,1,2차 보강: 편의점 옛 상호·운영법인,
쎄븐일레븐,ko,1,2차 보강: 편의점 옛 상호·운영법인,
비지에프리테일,ko,1,2차 보강: 편의점 옛 상호·운영법인,
에이엠피엠,ko,1,2차 보강: 편의점 옛 상호·운영법인,
진로베스토아,ko,1,2차 보강: 편의점 옛 상호·운영법인,
태인로손,ko,1,2차 보강: 편의점 옛 상호·운영법인,
GS편의점,ko,1,2차 보강: 편의점 옛 상호·운영법인,
CU,latin,1,영문 표기는 앞뒤가 영문자가 아닐 때만 인정(cup 등 오탐 방지),
GS\s?25,latin,1,영문 표기는 앞뒤가 영문자가 아닐 때만 인정(cup 등 오탐 방지),
KFC,latin,1,영문 표기는 앞뒤가 영문자가 아닐 때만 인정(cup 등 오탐 방지),
BBQ,latin,1,영문 표기는 앞뒤가 영문자가 아닐 때만 인정(cup 등 오탐 방지),
메가엠지씨커피,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),3677.0
본죽,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1753.0
더벤티,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1482.0
한솥도시락,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1472.0
크라운베이커리,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1281.0
텐퍼센트,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1089.0
엔제리너스,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1098.0
공차,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),1067.0
요거프레소,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),969.0
커피베이,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),950.0
피자스쿨,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),921.0
이삭토스트,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),793.0
카페베네,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),769.0
파스쿠찌,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),746.0
엽기떡볶이,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),717.0
피자헛,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),600.0
죽이야기,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),590.0
탐앤탐스,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),582.0
신라명과,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),576.0
고려당,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),561.0
명륜진사갈비,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),560.0
도미노피자,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),514.0
미스터피자,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),511.0
본도시락,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),504.0
설빙,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),501.0
더리터,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),473.0
쥬씨,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),440.0
신전떡볶이,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),423.0
롯데슈퍼,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),422.0
청년다방,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),339.0
조선호텔베이커리,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),298.0
드롭탑,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),285.0
죠스떡볶이,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),270.0
새마을식당,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),248.0
아딸,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),245.0
파파존스,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),242.0
피자알볼로,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),234.0
홈플러스익스프레스,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),208.0
폴바셋,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),202.0
백채김치찌개,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),197.0
하남돼지집,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),174.0
스쿨푸드,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),154.0
오봉도시락,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),144.0
명랑핫도그,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),131.0
스무디킹,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),132.0
국대떡볶이,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),87.0
GS더프레시,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),21.0
몽블랑제,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),613.0
놀부보쌈,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
놀부부대찌개,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
놀부항아리,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
매머드커피,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
매머드익스프레스,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
봉구스밥버거,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
고봉민김밥,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
원할머니보쌈,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
노브랜드버거,ko,1,3차 보강: 대형 체인(사업장명 건수 확인),
김밥천국,ko,0,"팀 결정으로 제외: 이름만 공유하는 무관한 개인 사업자가 많음(4,500행 안팎)",
김밥나라,ko,0,"보류: 이름을 공유하는 독립 점포가 많아 체인 여부 모호(1,869행/1,034행)",
명동칼국수,ko,0,"보류: 이름을 공유하는 독립 점포가 많아 체인 여부 모호(1,869행/1,034행)",
빵굽는마을,ko,0,보류: 일반 서술어에 가까운 상호(646행/752행),
케익하우스,ko,0,보류: 일반 서술어에 가까운 상호(646행/752행),
멕시칸치킨,ko,0,보류: 브랜드 여부 불확실(587행),
신세계푸드,ko,0,보류: 운영법인명이라 브랜드 체인으로 보기 모호(392행),
놀부,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
매머드,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
한솥,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
봉구스,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
고봉민,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
원할머니,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
노브랜드,ko,0,"단독 키워드는 일반어와 섞일 수 있어 브랜드 전체 표기로 대체(놀부보쌈, 매머드커피, 한솥도시락 등)",
두찜,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,752.0
국수나무,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,654.0
교동짬뽕,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,588.0
등촌샤브칼국수,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,427.0
큰맘할매순대국,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,414.0
채선당,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,407.0
가장맛있는족발,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,400.0
응급실국물떡볶이,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,277.0
현대옥,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,251.0
역전할머니맥주,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,240.0
역전우동,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,201.0
신마포갈매기,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,
한촌설렁탕,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,181.0
걸작떡볶이,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,160.0
연안식당,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,131.0
롤링파스타,ko,1,4차 보강: 한식·분식·중식·패밀리레스토랑 체인(사업장명 샘플 확인). 연안식당은 독립 상호 혼입 가능성이 있어 정밀도 불확실,119.0
